stock_date,product_name,category,product_id_sku,unit_price,units_sold,discounted
2020-04-07,High Quality Plastic Fork (set of 12),Miscellaneous,26298,2.64,27,0
2020-04-07,Club 2% Milk,Beverages,29451,2.19,66,0
2020-04-10,Thresher White Chocolate Bar,"Cookies, Snacks & Candy",71537,2.49,46,0
2020-04-10,Big Time Frozen Pepperoni Pizza,Frozen Foods,13119,1.13,34,0
2020-04-10,Carrington Fajita French Fries,Frozen Foods,16754,2.22,30,0
2020-04-10,White Label Canned Peaches,Canned Goods & Soups,84230,2.19,35,0
2020-04-10,Hilltop Buffered Aspirin,Miscellaneous,10074,2.49,18,0
2020-04-14,PigTail Home Style French Fries,Frozen Foods,28607,2.99,30,0
2020-04-14,Steady Apricot Shampoo,Miscellaneous,67811,2.35,43,0
2020-04-14,Tell Tale Fresh Lima Beans,Fruits & Vegetables,98560,3.17,23,0
2020-04-14,Bravo Canned Tuna in Water,Canned Goods & Soups,96012,1.67,22,0
2020-04-20,CDR Hot Chocolate,Beverages,61137,2.78,21,0
2020-04-20,Fabulous Diet Cola,Beverages,55655,2.28,35,0
2020-04-20,PigTail Pork Chops,Meat & Seafood,28279,3.9500000000000006,3,0
2020-04-20,Landslide Hot Chocolate,Beverages,74257,1.89,11,0
2020-04-24,Blue Ribbon Sausage,Meat & Seafood,68624,2.23,26,0
2020-04-24,Nationeel No Salt Popcorn,"Cookies, Snacks & Candy",34403,2.45,37,0
2020-04-24,Pearl Chardonnay Wine,"Beer, Wine & Spirits",26928,7.99,1,0
2020-04-24,PigTail Frozen Corn,Frozen Foods,46227,3.7,26,0
2020-04-24,Best Choice Chicken Filets,Meat & Seafood,55577,NA,33,0
2020-04-28,Urban Egg Substitute,"Dairy, Eggs & Cheese",15330,1.3,23,0
2020-04-28,Strawberry Fruit Roll,"Cookies, Snacks & Candy",90404,3.25,27,0
2020-04-28,Hermanos Red Pepper,Fruits & Vegetables,45463,1.8,32,0
2020-05-03,Moms Low Fat Bologna,Meat & Seafood,84849,2.1,41,1
2020-05-03,Plato Ice Cream Sandwiches,Frozen Foods,77862,1.13,39,1
2020-05-06,Red Wing 60 Watt Lightbulb,Miscellaneous,33595,1.33,25,1
2020-05-06,Sunset 100 Watt Lightbulb,Miscellaneous,39069,1.64,13,0
2020-05-09,Washington Apple Drink,Beverages,30689,3.51,39,0
2020-05-09,Carrington Pancake Mix,Breakfast & Cereal,49175,2.47,37,0
2020-05-09,Carrington Popsicles,Frozen Foods,68891,2.1,25,0
2020-05-14,Horatio Dried Apples,"Cookies, Snacks & Candy",86442,1.77,13,1
2020-05-14,Red Wing Plastic Spoons,Miscellaneous,26169,3.46,17,1
2020-05-14,Best Choice Raspberry Fruit Roll,"Cookies, Snacks & Candy",67869,NA,9,0
2020-05-20,Fantastic Muffins,Breakfast & Cereal,28159,2.12,12,0
2020-05-20,High Top Shitake Mushrooms,Fruits & Vegetables,32527,1.49,8,0
2020-05-24,Low-Fat Crackers,"Cookies, Snacks & Candy",79724,2.49,3,0
2020-05-30,Horatio Dried Apricots,"Cookies, Snacks & Candy",19405,2.97,5,0
2020-05-30,PigTail Chicken TV Dinner,Frozen Foods,86045,1.17,2,0
